Category,Software,Version,Windows PC Express Software,PC Standard,Windows PC Standard Software,"PC Satellite Lab
(Satellite Facilities)",Mac Express Software,Mac Help Kiosk Software,Mac Standard 1,Mac Standard Software,Mac Standard Software + Pro Tools,Mac Advanced Audio Software,Audio Suite Software,Satellite Lab
Multimedia,Adobe Lightroom,6,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Media Encoder,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Muse,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Photoshop,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Prelude,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Premiere Pro,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Scout,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Adobe Speedgrade,CC 2015,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Universal Type Client,5,Not Available,Yes,Yes,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Final Draft,9.0.7,Yes,Yes,Yes,Yes,Yes,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Windows Essentials Movie Maker,2012,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Multimedia,Windows Essentials Photo Gallery,2012,Yes,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Multimedia,TextWrangler,4.5.12,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,FontLab Studio,5.3.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Snapz Pro X,2.5.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Multimedia,Audacity,2.1.0,Not Available,Yes,Not Available,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,MPEG Streamclip,1.9.2 / 1.2,Not Available,Yes,Not Available,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Finale Notepad,2012,Not Available,Yes,Not Available,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Photos,1.0.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Numbers,3.5.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,Pages,5.5.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,iMovie,10.0.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Multimedia,GarageBand,10.1.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
"Multimedia
(Location specific by Request)",Keynote,6.2.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Programming,Git,1.9.5,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Programming,Java SE Development Kit,8u51,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Programming,Processing,2.2.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Programming,Arduino + USB board driver for Mac,1.6.5,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Programming,Second Life Viewer,3.8.0.302622,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Programming,Ploopp SL,0.6,Not Available,Yes,Yes,Yes,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Programming,X-code,6.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Not Available
Programming,iOS Dev (part of X-code),6.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Yes,Yes,Yes,Yes,Not Available
Statistics and Research,"ArcGIS ArcInfo
with the following extension
- 3D Analyst
- ArcScan
- Geostatistical Analysis
- Network Analyst
- Publisher
- Schematics
- Spatial Analyst
- Tracking Analyst
",10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Statistics and Research,ArcCatalog,10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Statistics and Research,ArcGlobe,10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Statistics and Research,ArcMap,10.3.1,Not Available,Yes,Yes,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
