Banner Fund,Banner Fund Description,Worktag Type,MyDay ID,MyDay Description,"Related Fund
(expense)","Related Fund Description
(expense)","Related Fund
(revenue)","Related Fund Description
(revenue)","Related
Cost Center","Related
Cost Center Description",Related Program Code,Related Program Code Description
51121,D Wood Humanitarian Awrd,Gift,GF51120,D Wood Humanitarian Awrd,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3700,Academic Support
51130,D Hirshon Professorship,Gift,GF51130,D Hirshon Professorship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC30300,Program Admin. LA,PG3008,Instruction
51131,D Hirshon Professorship,Gift,GF51130,D Hirshon Professorship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3008,Instruction
51140,D Hirshon Scholarship,Gift,GF51140,D Hirshon Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51141,D Hirshon Scholarship,Gift,GF51140,D Hirshon Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51150,Duapa Endowment,Gift,GF51150,Duapa Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC40110,Student Scholarship Office MM,PG3700,Academic Support
51151,Duapa Endowment,Gift,GF51150,Duapa Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51160,Eberstad Dissertation,Gift,GF51160,Eberstad Dissertation,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51161,Eberstad Dissertation,Gift,GF51160,Eberstad Dissertation,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3700,Academic Support
51180,Engl Endowment,Gift,GF51180,Engl Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC70200,President's Office,PG3700,Academic Support
51181,Engl Endowment,Gift,GF51180,Engl Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3700,Academic Support
51190,General Endowment,Gift,GF51190,General Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC80200,General Institutional Activity,PG3700,Academic Support
51191,General Endowment,Gift,GF51191,General_Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC80200,General Institutional Activity,null, 
51192,Littauer Foundation,Gift,GF51192,Littauer Foundation,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51193,Quasi-Endowment,Gift,GF51193,Quasi-Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51194,President Initiative,Gift,GF51194,President Initiative,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51200,NSSR Endowment,Gift,GF51200,NSSR Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51201,Johnson Award,Gift,GF51201,Johnson Award,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51202,Johnson Chair,Gift,GF51202,Johnson Chair,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51203,Halle Foundations,Gift,GF51203,Halle Foundations,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51204,Thomas S Lamont Fund,Gift,GF51204,Thomas S Lamont Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51205,Staudinger Chair,Gift,GF51205,Staudinger Chair,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51210,NSSR Quasi-Endowment,Gift,GF51210,NSSR Quasi-Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC30300,Program Admin. LA,PG3008,Instruction
51211,NSSR Quasi-Endowment,Gift,GF51210,NSSR Quasi-Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3008,Instruction
51220,Gilliam Scholarship,Gift,GF51220,Gilliam Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC45200,College Division,PG3700,Academic Support
51221,Gilliam Scholarship,Gift,GF51220,Gilliam Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51230,H Yoshida Scholarship,Gift,GF51230,H Yoshida Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
51231,H Yoshida Scholarship,Gift,GF51230,H Yoshida Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51250,H Loeb univ Schlrshp,Gift,GF51250,H Loeb univ Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC88820,Financial Aid,PG3700,Academic Support
51251,H Loeb univ Schlrshp,Gift,GF51250,H Loeb univ Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51260,Heuss Quasi-Endowment Fnd,Gift,GF51260,Heuss Quasi-Endowment Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,null, 
51261,Heuss Quasi-Endowment Fund,Gift,GF51260,Heuss Quasi-Endowment Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51270,I Have a Dream,Gift,GF51270,I Have a Dream,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC45200,College Division,PG3700,Academic Support
51271,I Have a Dream,Gift,GF51270,I Have a Dream,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51280,Ira Katznelson Fellowship,Gift,GF51280,Ira Katznelson Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51281,Ira Katznelson Fellowship,Gift,GF51280,Ira Katznelson Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3700,Academic Support
51290,J Karger Mrl Schlrshp,Gift,GF51290,J Karger Mrl Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC45200,College Division,PG3700,Academic Support
51291,J Karger Mrl Schlrshp,Gift,GF51290,J Karger Mrl Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51300,J L Loeb Jr Scholarship,Gift,GF51300,J L Loeb Jr Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
51301,J L Loeb Jr Scholarship,Gift,GF51300,J L Loeb Jr Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
51310,Jacob Burns Scholarship,Gift,GF51310,Jacob Burns Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
51311,Jacob Burns Scholarship,Gift,GF51310,Jacob Burns Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51320,Jesse McCutchen Schlrshp,Gift,GF51320,Jesse McCutchen Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
51321,Jesse McCutchen Schlrshp,Gift,GF51320,Jesse McCutchen Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51330,J Evertt Memorl Schlrshp,Gift,GF51330,J Evertt Memorl Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
51331,J Evertt Memorl Schlrshp,Gift,GF51330,J Evertt Memorl Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51340,Johnson Scholarship,Gift,GF51340,Johnson Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51341,Johnson Scholarship,Gift,GF51340,Johnson Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51350,Laverne Neil Scholarship,Gift,GF51350,Laverne Neil Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51351,Laverne Neil Scholarship,Gift,GF51350,Laverne Neil Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51360,Leo Model Fellowship,Gift,GF51360,Leo Model Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51361,Leo Model Fellowship,Gift,GF51360,Leo Model Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51370,List Adult Scholarship,Gift,GF51370,List Adult Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC15201,BA revenue Adult Education,PG3700,Academic Support
51371,List Adult Scholarship,Gift,GF51370,List Adult Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51380,List Sculpture Award,Gift,GF51380,List Sculpture Award,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC15201,BA revenue Adult Education,PG3700,Academic Support
51381,List Sculpture Award,Gift,GF51380,List Sculpture Award,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51390,Loeb Endowment,Gift,GF51390,Loeb Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC40110,Student Scholarship Office MM,PG3700,Academic Support
51391,Loeb Endowment,Gift,GF51390,Loeb Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51400,Loeb Hall Endowment,Gift,GF51400,Loeb Hall Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC84350,Capital Construction,PG3900,Auxiliary Activities
51401,Loeb Hall Endowment,Gift,GF51400,Loeb Hall Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3900,Auxiliary Activities
51410,Monica L Gollub Schola,Gift,GF51410,Monica L Gollub Scholar,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
51411,Monica L Gollub Scholar,Gift,GF51410,Monica L Gollub Scholar,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
51420,Mannes General Endowment,Gift,GF51420,Mannes General Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC45001,Dean's Office - Mannes,PG3700,Academic Support
51421,Mannes General Endowment,Gift,GF51421,Mannes_General Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC45001,Dean's Office - Mannes,PG3700,Academic Support
51422,A Hallgarten Scholarship,Gift,GF51422,A Hallgarten Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51423,David Mannes Mrl Schlrshp,Gift,GF51423,David Mannes Mrl Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51424,E Grayson Woodbridge Fund,Gift,GF51424,E Grayson Woodbridge Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51425,Kate Netter Scholarship,Gift,GF51425,Kate Netter Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51426,McConnell Clark Schlrshp,Gift,GF51426,McConnell Clark Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51427,Morton K Scholarship,Gift,GF51427,Morton K Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51428,R G Koenig Scholarship,Gift,GF51428,R G Koenig Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51429,R Johnson Scholarship,Gift,GF51429,R Johnson Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51430,Rudolf Kallir Scholars,Gift,GF51430,Steele/Reese Endwmnt Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51431,Steele/Reese Endwmnt Fund,Gift,GF51431,Steele/Reese Endwmnt Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51432,W Damrosch Scholarship,Gift,GF51432,W Damrosch Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51433,W Robinson Endowmnt Fund,Gift,GF51433,W Robinson Endowmnt Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51440,McCardell Scholarship,Gift,GF51440,McCardell Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51441,McCardell Scholarship,Gift,GF51440,McCardell Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51460,Moskowitz Lectureship,Gift,GF51460,Moskowitz Lectureship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC88820,Financial Aid,PG3700,Academic Support
51461,Moskowitz Lectureship,Gift,GF51460,Moskowitz Lectureship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3700,Academic Support
51470,B Hoffman Scholarship,Gift,GF51470,B Hoffman Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51471,B Hoffman Scholarship,Gift,GF51470,B Hoffman Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51480,Munson Endowment,Gift,GF51480,Munson Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC45200,College Division,PG3700,Academic Support
51481,Munson Endowment,Gift,GF51480,Munson Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51490,M Whithall Quasi-Endwmnt,Gift,GF51490,M Whithall Quasi-Endwmnt,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51491,M Whithall Quasi-Endwmnt,Gift,GF51490,M Whithall Quasi-Endwmnt,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51500,Natalie Pion Scholarship,Gift,GF51500,Natalie Pion Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51501,Natalie Pion Scholarship,Gift,GF51500,Natalie Pion Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51510,Neinkin Scholarship,Gift,GF51510,Neinkin Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC40110,Student Scholarship Office MM,PG3700,Academic Support
51511,Neinkin Scholarship,Gift,GF51510,Neinkin Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51520,Norell Scholarship,Gift,GF51520,Norell Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51521,Norell Scholarship,Gift,GF51520,Norell Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51530,Parsons Genrl Scholrshp,Gift,GF51530,Parsons Genrl Scholrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51531,Parsons Genrl Scholrshp,Gift,GF51530,Parsons Genrl Scholrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51540,Patterson Wm Endowment,Gift,GF51540,Patterson Wm Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC40110,Student Scholarship Office MM,PG3700,Academic Support
51541,Patterson Wm Endowment,Gift,GF51540,Patterson Wm Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51550,Ellis Estate Scholarship,Gift,GF51550,Ellis Estate Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51551,Ellis Estate Scholarship,Gift,GF51550,Ellis Estate Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51560,Photo Award Dinner,Gift,GF51560,Photo Award Dinner,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51561,Photo Award Dinner,Gift,GF51560,Photo Award Dinner,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3700,Academic Support
51570,Pineles Scholarship,Gift,GF51570,Pineles Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51571,Pineles Scholarship,Gift,GF51570,Pineles Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51580,Pres Disc /Noguchi,Gift,GF51580,Pres Disc /Noguchi,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC70200,President's Office,PG6005,Institutional Support
51581,Pres Disc /Noguchi,Gift,GF51580,Pres Disc /Noguchi,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG6005,Institutional Support
51590,Rita Russell Endowment,Gift,GF51590,Rita Russell Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC45200,College Division,PG3700,Academic Support
51591,Rita Russell Endowment,Gift,GF51590,Rita Russell Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51600,Robert Curvin Fellowship,Gift,GF51600,Robert Curvin Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC40110,Student Scholarship Office MM,PG3700,Academic Support
51601,Robert Curvin Fellowship,Gift,GF51600,Robert Curvin Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51610,Schlrshps I/M/O E Glaser,Gift,GF51610,Schlrshps I/M/O E Glaser,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC88820,Financial Aid,PG3700,Academic Support
51611,Schlrshps I/M/O E Glaser,Gift,GF51610,Schlrshps I/M/O E Glaser,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51620,Alice Boldt Shifman Mem,Gift,GF51620,Alice Boldt Shifman Mem,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51621,Alice Boldt Shifman Mem,Gift,GF51620,Alice Boldt Shifman Mem,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51630,S Curtis Trust Schlrshp,Gift,GF51630,S Curtis Trust Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51631,S Curtis Trust Schlrshp,Gift,GF51630,S Curtis Trust Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51640,Sugihara Schlr /List End,Gift,GF51640,Sugihara Schlr /List End,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
51641,Sugihara Schlr /List End,Gift,GF51640,Sugihara Schlr /List End,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51650,Sussman Estate Schlrshp,Gift,GF51650,Sussman Estate Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51651,Sussman Estate Schlrshp,Gift,GF51650,Sussman Estate Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51660,Sydell Markelson Schlrshp,Gift,GF51660,Sydell Markelson Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC88820,Financial Aid,PG3700,Academic Support
51661,Sydell Markelson Schlrshp,Gift,GF51660,Sydell Markelson Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51670,Vera List/Lang Schlrshp,Gift,GF51670,Vera List/Lang Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
51671,Vera List/Lang Schlrshp,Gift,GF51670,Vera List/Lang Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51680,Wunderlich Memorial Fund,Gift,GF51680,Wunderlich Memorial Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51681,Wunderlich Memorial Fund,Gift,GF51680,Wunderlich Memorial Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51700,Gene Kahn Scholarship,Gift,GF51700,Gene Kahn Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,null, 
51701,Gene Kahn Scholarship,Gift,GF51700,Gene Kahn Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51800,Brecht Scholarship,Gift,GF51800,Brecht Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
51801,Brecht Scholarship,Gift,GF51800,Brecht Scholarship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
51900,Brunschwig & Fils,Gift,GF51900,Brunschwig & Fils,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,PG3700,Academic Support
51901,Brunschwig & Fils,Gift,GF51900,Brunschwig & Fils,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
52000,C Gross Sculpture Schlr,Gift,GF52000,C Gross Sculpture Schl,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10400,Graduate Scholarship PS MFA,PG3700,Academic Support
52001,C Gross Sculpture Schl,Gift,GF52000,C Gross Sculpture Schl,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
52010,H Shapiro Lectureship,Gift,GF52010,H Shapiro Lectureship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC15730,Vera List Center,PG3008,Instruction
52011,H Shapiro Lectureship,Gift,GF52010,H Shapiro Lectureship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3008,Instruction
52020,Halle Prize,Gift,GF52020,Halle Prize,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
52021,Halle Prize,Gift,GF52020,Halle Prize,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3700,Academic Support
52030,Joyce Dimauro Memorial,Gift,GF52030,Joyce Dimauro Memorial,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10200,Scholarship PS BFA,null, 
52031,Joyce Dimauro Memorial,Gift,GF52030,Joyce Dimauro Memorial,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
52040,Lang Student Center Fund,Gift,GF52040,Lang Student Center Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25120,General Student Activities LC,PG3802,Student Services
52041,Lang Student Center Fund,Gift,GF52040,Lang Student Center Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,PG3802,Student Services
52050,List Netherlands NSSR,Gift,GF52050,List Netherlands NSSR,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,PG3700,Academic Support
52051,List Netherlands NSSR,Gift,GF52050,List Netherlands NSSR,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
52060,Marjorie Katz Schlrshp,Gift,GF52060,Marjorie Katz Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC15201,BA revenue Adult Education,null, 
52061,Marjorie Katz Schlrshp,Gift,GF52060,Marjorie Katz Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC15201,BA revenue Adult Education,null, 
52070,Parsons Endowment Fund,Gift,GF52070,Parsons Endowment Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10041,Budget Control PS,null, 
52071,Parsons Endowment Fund,Gift,GF52070,Parsons Endowment Fund,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10041,Budget Control PS,null, 
52080,Stephen Kennedy Schlr,Gift,GF52080,Stephen Kennedy Schlr,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
52081,Stephen Kennedy Schlr,Gift,GF52080,Stephen Kennedy Schlr,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
52090,John L Tishman Schlr,Gift,GF52090,John L Tishman Schlr,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,PG3700,Academic Support
52091,John L Tishman Schlr,Gift,GF52090,John L Tishman Schlr,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
52100,Sandra Kaltman Schlrsh,Gift,GF52100,Sandra Kaltman Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC55200,Program Administration - Jazz,null, 
52101,Sandra Kaltman Schlrshp,Gift,GF52100,Sandra Kaltman Schlrshp,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC55200,Program Administration - Jazz,null, 
52110,Melamid Fellowship,Gift,GF52110,Melamid Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,null, 
52111,Melamid Fellowship,Gift,GF52110,Melamid Fellowship,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC20400,Student Funding NSSR,null, 
52130,Bea Banu Endowment,Gift,GF52130,Bea Banu Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
52131,Bea Banu Endowment,Gift,GF52130,Bea Banu Endowment,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
52140,Wolf Comm Design Schol,Gift,GF52140,Wolf Comm Design Schol,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10060,Development PS,null, 
52141,Wolf Comm Design Schol,Gift,GF52140,Wolf Comm Design Schol,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10060,Development PS,null, 
52150,Henry Wolf Chair Comm,Gift,GF52150,Henry Wolf Chair Comm,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10203,Communication Design PS BFA,null, 
52151,Henry Wolf Chair Comm,Gift,GF52150,Henry Wolf Chair Comm,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC10203,Communication Design PS BFA,null, 
52160,TNS for Lang Quasi End,Gift,GF52160,TNS for Lang Quasi End,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC25200,Tuition and Scholarship-General; LC,null, 
52161,TNS for Lang Quasi End,Gift,GF52160,TNS for Lang Quasi End,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
52170,TNS for GS Quasi NSGS,Gift,GF52170,TNS for GS Quasi NSGS,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC15730,Vera List Center,null, 
52171,TNS for GS Quasi NSGS,Gift,GF52170,TNS for GS Quasi NSGS,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,null, ,null, 
52180,Fogelman Capital Plan,Gift,GF52180,Fogelman Capital Plan,FN01,Unrestricted operating fund,FN02,Unrestricted designated fund,CC80200,General Institutional Activity,null, 
